date,region_group,일별_합계,산불발생여부
2017-03-02,강원,0,0
2017-03-03,강원,1,1
2017-03-04,강원,0,0
2017-03-05,강원,0,0
2017-03-06,강원,0,0
2017-03-07,강원,0,0
2017-03-08,강원,0,0
2017-03-09,강원,1,1
2017-03-10,강원,3,1
2017-03-11,강원,2,1
2017-03-12,강원,1,1
2017-03-13,강원,1,1
2017-03-14,강원,3,1
2017-03-15,강원,1,1
2017-03-16,강원,0,0
2017-03-17,강원,1,1
2017-03-18,강원,2,1
2017-03-19,강원,4,1
2017-03-20,강원,0,0
2017-03-21,강원,0,0
2017-03-22,강원,2,1
2017-03-23,강원,1,1
2017-03-24,강원,0,0
2017-03-25,강원,0,0
2017-03-26,강원,0,0
2017-03-27,강원,0,0
2017-03-28,강원,0,0
2017-03-29,강원,0,0
2017-03-30,강원,2,1
2017-03-31,강원,0,0
2017-04-01,강원,0,0
2017-04-02,강원,0,0
2017-04-03,강원,0,0
2017-04-04,강원,1,1
2017-04-05,강원,0,0
2017-04-06,강원,0,0
2017-04-07,강원,0,0
2017-04-08,강원,1,1
2017-04-09,강원,0,0
2017-04-10,강원,2,1
2017-04-11,강원,0,0
2017-04-12,강원,1,1
2017-04-13,강원,2,1
2017-04-14,강원,0,0
2017-04-15,강원,0,0
2017-04-16,강원,0,0
2017-04-17,강원,0,0
2017-04-18,강원,0,0
2017-04-19,강원,0,0
2017-04-20,강원,1,1
2017-04-21,강원,0,0
2017-04-22,강원,0,0
2017-04-23,강원,4,1
2017-04-24,강원,1,1
2017-04-25,강원,0,0
2017-04-26,강원,1,1
2017-04-27,강원,0,0
2017-04-28,강원,1,1
2017-04-29,강원,4,1
2017-04-30,강원,0,0
2017-05-01,강원,2,1
2017-05-02,강원,4,1
2017-05-03,강원,5,1
2017-05-04,강원,0,0
2017-05-05,강원,3,1
2017-05-06,강원,4,1
2017-05-07,강원,2,1
2017-05-08,강원,1,1
2017-05-09,강원,1,1
2017-05-10,강원,0,0
2017-05-11,강원,0,0
2017-05-12,강원,0,0
2017-05-13,강원,0,0
2017-05-14,강원,0,0
2017-05-15,강원,0,0
2017-05-16,강원,0,0
2017-05-17,강원,0,0
2017-05-18,강원,0,0
2017-05-19,강원,1,1
2017-05-20,강원,3,1
2017-05-21,강원,1,1
2017-05-22,강원,0,0
2017-05-23,강원,0,0
2017-05-24,강원,0,0
2017-05-25,강원,1,1
2017-05-26,강원,1,1
2017-05-27,강원,1,1
2017-05-28,강원,0,0
2017-05-29,강원,0,0
2017-05-30,강원,0,0
2017-05-31,강원,0,0
2017-06-01,강원,1,1
2017-06-02,강원,1,1
2017-06-03,강원,1,1
2017-06-04,강원,3,1
2017-06-05,강원,0,0
2017-06-06,강원,0,0
2017-06-07,강원,0,0
2017-06-08,강원,0,0
2017-06-09,강원,0,0
2017-06-10,강원,0,0
2017-06-11,강원,0,0
2017-06-12,강원,0,0
2017-06-13,강원,0,0
2017-06-14,강원,0,0
2017-06-15,강원,0,0
2017-06-16,강원,0,0
2017-06-17,강원,1,1
2017-06-18,강원,0,0
2017-06-19,강원,2,1
2017-06-20,강원,0,0
2017-06-21,강원,1,1
2017-06-22,강원,1,1
2017-06-23,강원,1,1
2017-06-24,강원,0,0
2017-06-25,강원,0,0
2017-06-26,강원,0,0
2017-06-27,강원,0,0
2017-06-28,강원,0,0
2017-06-29,강원,0,0
2017-06-30,강원,0,0
2017-07-01,강원,0,0
2017-07-02,강원,0,0
2017-07-03,강원,0,0
2017-07-04,강원,0,0
2017-07-05,강원,0,0
2017-07-06,강원,0,0
2017-07-07,강원,0,0
2017-07-08,강원,0,0
2017-07-09,강원,0,0
2017-07-10,강원,0,0
2017-07-11,강원,0,0
2017-07-12,강원,0,0
2017-07-13,강원,0,0
2017-07-14,강원,0,0
2017-07-15,강원,0,0
2017-07-16,강원,0,0
2017-07-17,강원,0,0
2017-07-18,강원,0,0
2017-07-19,강원,0,0
2017-07-20,강원,0,0
2017-07-21,강원,0,0
2017-07-22,강원,0,0
2017-07-23,강원,0,0
2017-07-24,강원,0,0
2017-07-25,강원,0,0
2017-07-26,강원,0,0
2017-07-27,강원,0,0
2017-07-28,강원,0,0
2017-07-29,강원,0,0
2017-07-30,강원,0,0
2017-07-31,강원,0,0
2017-08-01,강원,0,0
2017-08-02,강원,0,0
2017-08-03,강원,0,0
2017-08-04,강원,0,0
2017-08-05,강원,0,0
2017-08-06,강원,0,0
2017-08-07,강원,0,0
2017-08-08,강원,0,0
