damagearea,endday,endmonth,endtime,endyear,firecause,locbunji,locdong,locgungu,locmenu,locsi,startday,startdayofweek,startmonth,starttime,startyear
0.01,09,02,13:30:00,2021,입산자실화,132-1,대덕,영광,군남,전남,09,화요일,02,12:32:00,2021
0.17,08,02,16:00:00,2021,농산부산물소각,산39,인산,강화,양도,인천,08,월요일,02,14:45:00,2021
0.1,08,02,14:40:00,2021,건축물화재비화,산125-21,정상,안동,,경북,08,월요일,02,13:00:00,2021
0.08,08,02,13:38:00,2021,기타,83-1,거일,울진,평해,경북,08,월요일,02,11:59:00,2021
0.01,08,02,12:30:00,2021,담뱃불실화,산46-3,부봉,함안,산인,경남,08,월요일,02,11:20:00,2021
0.01,07,02,17:00:00,2021,입산자실화,산224,대명,남,,대구,07,일요일,02,15:48:00,2021
0.01,06,02,17:20:00,2021,입산자실화,산198,대명,남,,대구,06,토요일,02,16:35:00,2021
0.01,06,02,04:30:00,2021,건축물화재비화,산76,내석,양산,상북,경남,06,토요일,02,01:51:00,2021
0.01,21,04,11:05:00,2021,담뱃불실화,산55,양수,양평,양서,경기,21,수요일,04,09:33:00,2021
0.1,20,04,23:50:00,2021,입산자실화,산198-1,동곡,광양,옥룡,전남,20,화요일,04,20:53:00,2021
0.03,20,04,21:15:00,2021,기타,산84,고요,문경,문경,경북,20,화요일,04,18:52:00,2021
0.3,20,04,18:00:00,2021,농산부산물소각,산32,명동,홍천,남,강원,20,화요일,04,15:22:00,2021
0.3,20,04,17:00:00,2021,입산자실화,산84번지외1필,인월,남원,인월,전북,20,화요일,04,14:36:00,2021
0.2,20,04,13:30:00,2021,쓰레기소각,산17,선기,구미,,경북,20,화요일,04,11:45:00,2021
1.5,19,04,21:00:00,2021,입산자실화,산34-1,초원,횡성,공근,강원,19,월요일,04,17:06:00,2021
0.33,19,04,16:30:00,2021,입산자실화,177-1,신복,양평,옥천,경기,19,월요일,04,13:00:00,2021
0.08,19,04,14:50:00,2021,입산자실화,산40-1,화제,양산,원동,경남,19,월요일,04,11:04:00,2021
0.01,19,04,10:30:00,2021,기타,산6,의전,김해,진영,경남,19,월요일,04,09:48:00,2021
0.02,18,04,13:55:00,2021,기타,133-4,원덕,양평,양평,경기,18,일요일,04,13:09:00,2021
0.2,17,04,23:00:00,2021,입산자실화,산14-1,상대,유성,,대전,17,토요일,04,20:40:00,2021
0.2,17,04,18:20:00,2021,쓰레기소각,산9,봉계,여수,,전남,17,토요일,04,15:30:00,2021
0.01,17,04,13:15:00,2021,기타,산26-1,봉산,평창,진부,강원,17,토요일,04,12:04:00,2021
0.03,17,04,12:07:00,2021,입산자실화,357-3,중원,양평,용문,경기,17,토요일,04,10:44:00,2021
0.01,17,04,10:30:00,2021,기타,산120,월운,홍천,동,강원,17,토요일,04,09:33:00,2021
1,16,04,17:50:00,2021,입산자실화,산19-84,신암,영양,수비,경북,16,금요일,04,16:03:00,2021
0.2,16,04,16:30:00,2021,입산자실화,산1,오계,나주,남평,전남,16,금요일,04,15:10:00,2021
0.5,13,04,17:30:00,2021,입산자실화,산582-1,갈산,봉화,재산,경북,13,화요일,04,15:40:00,2021
0.03,12,04,13:09:00,2021,입산자실화,1005-2,남북,중,,인천,12,월요일,04,12:12:00,2021
0.03,11,04,21:35:00,2021,기타,산230-1,양곡,봉화,명호,경북,11,일요일,04,20:32:00,2021
0.01,11,04,20:00:00,2021,입산자실화,산21,구암,공주,이인,충남,11,일요일,04,19:00:00,2021
0.01,11,04,14:30:00,2021,기타,산155,덕은,파주,월룡,경기,11,일요일,04,13:59:00,2021
0.1,11,04,15:20:00,2021,입산자실화,산38-1,부산,서산,음암,충남,11,일요일,04,13:10:00,2021
0.01,11,04,14:45:00,2021,입산자실화,산94-9,데덕,부여,옥산,충남,11,일요일,04,13:05:00,2021
0.03,11,04,14:00:00,2021,입산자실화,산77외1,금당,완주,문주,전북,11,일요일,04,12:21:00,2021
1.4,11,04,18:10:00,2021,입산자실화,산113-1,동곡,광양,옥룡,전남,11,일요일,04,11:10:00,2021
0.05,11,04,12:10:00,2021,입산자실화,산132-2,생달,문경,동로,경북,11,일요일,04,10:34:00,2021
1,11,04,15:00:00,2021,입산자실화,"산100, 산100-1, 산99",진도,무주,안선,전북,11,일요일,04,10:17:00,2021
0.5,11,04,17:40:00,2021,기타,산123-1,현동,봉화,재산,경북,11,일요일,04,10:13:00,2021
0.03,10,04,20:30:00,2021,입산자실화,산56-4,주교,보령,주교,충남,10,토요일,04,19:05:00,2021
0.5,10,04,12:30:00,2021,입산자실화,산11,원촌,장수,계북,전북,10,토요일,04,10:50:00,2021
0.06,09,04,19:00:00,2021,건축물화재비화,산132-1,산하,안성,원곡,경기,09,금요일,04,16:41:00,2021
0.15,09,04,15:50:00,2021,입산자실화,산106,사수,화순,사평,전남,09,금요일,04,13:27:00,2021
0.1,09,04,14:30:00,2021,입산자실화,산103-1,동곡,광양,옥룡,전남,09,금요일,04,12:28:00,2021
0.02,08,04,14:30:00,2021,입산자실화,산3,발양,공주,이인,충남,08,목요일,04,13:29:00,2021
0.01,08,04,10:50:00,2021,기타,산31,이화,가평,가평,경기,08,목요일,04,10:24:00,2021
0.02,08,04,11:10:00,2021,입산자실화,산21,진덕,영광,홍농,전남,08,목요일,04,10:05:00,2021
0.01,07,04,17:37:00,2021,농산부산물소각,산132,읍내,파주,군내,경기,07,수요일,04,15:47:00,2021
0.01,07,04,15:04:00,2021,담뱃불실화,산3,정평,진주,집현,경남,07,수요일,04,13:55:00,2021
0.06,07,04,14:00:00,2021,기타,산49,칠전,영천,고경,경북,07,수요일,04,12:33:00,2021
0.01,06,04,13:55:00,2021,기타,산83,내유,고양,덕양,경기,06,화요일,04,13:16:00,2021
0.5,03,04,11:30:00,2021,담뱃불실화,산159-6,운화,울주,온양,울산,03,토요일,04,01:40:00,2021
0.15,02,04,21:00:00,2021,입산자실화,산9-7,우곡,영덕,영덕,경북,02,금요일,04,19:19:00,2021
0.2,02,04,18:30:00,2021,기타,산49,삼성,양평,청운,경기,02,금요일,04,16:58:00,2021
0.02,02,04,15:35:00,2021,기타,산60-1,은송,남원,주천,전북,02,금요일,04,14:37:00,2021
0.01,02,04,15:10:00,2021,기타,산29-5,용정,청주,상당,충북,02,금요일,04,14:35:00,2021
0.02,02,04,14:00:00,2021,농산부산물소각,178-3,모전,창녕,대합,경남,02,금요일,04,12:54:00,2021
0.66,02,04,14:20:00,2021,담뱃불실화,산72-1,사목,파주,문산,경기,02,금요일,04,11:39:00,2021
0.1,02,04,11:00:00,2021,담뱃불실화,242-2,당하,화성,봉담,경기,02,금요일,04,09:44:00,2021
0.1,02,04,03:32:00,2021,입산자실화,산58-6,고림,용인,처인,경기,02,금요일,04,01:49:00,2021
0.02,01,04,21:30:00,2021,기타,산76-2,신림,관악,,서울,01,목요일,04,18:55:00,2021
0.4,01,04,18:50:00,2021,쓰레기소각,산102,쌍지,안성,고삼,경기,01,목요일,04,16:01:00,2021
0.01,01,04,15:30:00,2021,기타,663-9,화전,고양,덕양,경기,01,목요일,04,15:03:00,2021
0.01,01,04,13:30:00,2021,입산자실화,"산251, 227-2",양잠,태안,남,충남,01,목요일,04,12:14:00,2021
0.1,01,04,15:30:00,2021,담뱃불실화,산33-3,어천,공주,우성,충남,01,목요일,04,12:10:00,2021
0.5,01,04,11:00:00,2021,기타,산1,도사,양구,양구,강원,31,수요일,03,15:56:00,2021
